location_id,name,description,category,rating,icon
yeppoon-family-practice-toilet,TOILET - disabled [GOOD],Automatic door; rail on the right-hand side; level approach from the car park.,Toilets,green,toilet-green
cedar-park-shopping-centre,PARKING - disability [OKAY],"There are TWO disability car parks at this shopping centre. They are older style, so not very wide. The traffic here is busy so challenging to exit from the rear, however if you need to do so, choose the 2nd park outside SPA Supermarket. Both are not flat to the pathway, however the 1st one outside the FISH & CHIPS shop is good BUT there is small lip that is a trip hazard if your loved-one isn't aware of it. the 2nd one has a sloping gutter that is NOT suitable for wheelchairs or wheelie-walkers.",Parking,orange,parking-orange
bell-park-markets,PATHWAY - grass [BUMPY],The LIONS BELL PARK MARKETS are a great place to visit THIRD SUNDAY of every month 8am-12pm. But the park is bumpy so hold on to your wheelie-walker and don't expect a comfortable ride in a manual wheelchair. There is NO disability toilet within 700m (Emu Park Beach is the nearest one) and it is OLD.,Pathway,orange,route-orange
spotlight-ramp-rockhampton,RAMP - concrete [EXCELLENT],"The ramp from the car-park to the shop is gentle, wide, suitable for vision-impaired, and has railings both sides. The entrance into Spotlight is wide, flat and smooth.",Ramps,green,route-green
spinnaker-club,TOILET - disability [OKAY],"Hmm, this is a brand new toilet so we hoped to be able to give it an EXCELLENT rating. And there's many good things about it! But here are the issues: It's new but still has an old-style door instead of an automatic door. There are NO handrails! There are hooks that could be used for stoma-bags, but they are so far away from the basin and toilet that we know they are intended for hand-bags and jackets, and not people with a disability/medical need. The good points are it's size, the hand-wash basin does allow wheelchair users to wash hands. But it needs a shelf for hygienic medical supply placement.",Toilets,orange,toilet-orange
