location_id,name,place_name,street_address,description,category,rating,latitude,longitude,township,lga,status,synced_photos
emu-street-parking,EMU PARK | PARKING - disability [GOOD],,,Emu Street foreshore disabled parking. Level transfer zone; short sealed path to the foreshore lawn.,Parking,green,-23.256742,150.827622,EMU PARK,Livingstone,,"IMG_5425.jpg,IMG_5426.jpg,IMG_5427.jpg,IMG_5428.jpg"
yeppoon-family-practice-toilet,YEPPOON | TOILET - disability [OKAY],,,Automatic door; rail on the right-hand side; level approach from the car park.,Toilets,orange,-23.12795,150.74408,YEPPOON,Livingstone,,"IMG_5490.jpg,IMG_5491.jpg,IMG_5492.jpg,IMG_5493.jpg,IMG_5494.jpg,IMG_5495.jpg"
Cedar-park-shopping-centre-1,YEPPOON | PARKING - disability [OKAY],,,"There are TWO disability car parks at this shopping centre. They are older style, so not very wide. The traffic here is busy so challenging to exit from the rear, however if you need to do so, choose the 2nd park outside SPA Supermarket. Both are not flat to the pathway, however the 1st one outside the FISH & CHIPS shop is good BUT there is small lip that is a trip hazard if your loved-one isn't aware of it. the 2nd one has a sloping gutter that is NOT suitable for wheelchairs or wheelie-walkers.",Parking,orange,-23.14458,150.75611,YEPPOON,Livingstone,,"IMG_5371.jpg,IMG_5372.jpg,IMG_5373.jpg"
bell-park-markets,EMU PARK | PATHWAY - grass [BUMPY],Lions Bell Park,Hill St,The LIONS BELL PARK MARKETS are a great place to visit THIRD SUNDAY of every month 8am-12pm. But the park is bumpy so hold on to your wheelie-walker and don't expect a comfortable ride in a manual wheelchair. There is NO disability toilet within 700m (Emu Park Beach is the nearest one) and it is OLD.,Pathway,orange,-23.25543,150.82713,EMU PARK,Livingstone,,IMG_5369.jpg
playground-swing-wheelchair-emu-park,EMU PARK | VENUE - playground [BAD],,,"It's rusty, it's dirty, it's full with garden waste. A swing for youth wheelchair users who enjoy extreme sports without the fun. The main issue is that it is far-away from the children's playground",Venue,red,-23.25592,150.82566,EMU PARK,Livingstone,,"IMG_5360.jpg,IMG_5361.jpg,IMG_5362.jpg,IMG_5363.jpg,IMG_5364.jpg"
spotlight-carpark-rockhampton,ROCKHAMPTON | PARKING - disability [GOOD],,,"This disability car park is very wide, which makes up for the garden on the left and the other car park on the right. The car park is quite and there is space to offload from the rear if you need to without obstructing traffic. The ramp into Spotlight is gentle and there are railings either side. Suitable for vision-impaired.",Parking,green,-23.35102,150.52346,ROCKHAMPTON,Rockhampton,,"IMG_5339.jpg,IMG_5340.jpg,IMG_5341.jpg"
spotlight-ramp-rockhampton,ROCKHAMPTON | RAMP - concrete [EXCELLENT],,,"The ramp from the car-park to the shop is gentle, wide, suitable for vision-impaired, and has railings both sides. The entrance into Spotlight is wide, flat and smooth.",Ramps,green,-23.35104,150.52342,ROCKHAMPTON,Rockhampton, ,IMG_5340.jpg
spinnaker-club,YEPPOON | TOILET - disability [OKAY],,,"Hmm, this is a brand new toilet so we hoped to be able to give it an EXCELLENT rating. And there's many good things about it! But here are the issues: It's new but still has an old-style door instead of an automatic door. There are NO handrails! There are hooks that could be used for stoma-bags, but they are so far away from the basin and toilet that we know they are intended for hand-bags and jackets, and not people with a disability/medical need. The good points are it's size, the hand-wash basin does allow wheelchair users to wash hands. But it needs a shelf for hygienic medical supply placement.",Toilets,orange,-23.13282,150.74925,YEPPOON,Livingstone,,"IMG_5321.jpg,IMG_5322.jpg,IMG_5323.jpg,IMG_5324.jpg,IMG_5325.jpg"
Cedar-park-shopping-centre-2,YEPPOON | PARKING - disability [OKAY],,,"There are TWO disability car parks at this shopping centre. They are older style, so not very wide. The traffic here is busy so challenging to exit from the rear, however if you need to do so, choose the 2nd park outside SPA Supermarket. Both are not flat to the pathway, however the 1st one outside the FISH & CHIPS shop is good BUT there is small lip that is a trip hazard if your loved-one isn't aware of it. the 2nd one has a sloping gutter that is NOT suitable for wheelchairs or wheelie-walkers.",Parking,orange,-23.14435,150.75626,YEPPOON,Livingstone,,"IMG_5374.jpg,IMG_5375.jpg,IMG_5376.jpg"
