name,description,latitude,longitude,location_id,township,lga,category,rating,icon
EMU PARK | PARKING - disability [GOOD],"EMU PARK

Emu Street foreshore disabled parking. Level transfer zone; short sealed path to the foreshore lawn.",-23.256742,150.827622,emu-street-parking,EMU PARK,Livingstone,Parking,green,parking-green
YEPPOON | PARKING - disability [OKAY],"YEPPOON

There are TWO disability car parks at this shopping centre. They are older style, so not very wide. The traffic here is busy so challenging to exit from the rear, however if you need to do so, choose the 2nd park outside SPA Supermarket. Both are not flat to the pathway, however the 1st one outside the FISH & CHIPS shop is good BUT there is small lip that is a trip hazard if your loved-one isn't aware of it. the 2nd one has a sloping gutter that is NOT suitable for wheelchairs or wheelie-walkers.",-23.14458,150.75611,Cedar-park-shopping-centre-1,YEPPOON,Livingstone,Parking,orange,parking-orange
YEPPOON | PARKING - disability [OKAY],"YEPPOON

There are TWO disability car parks at this shopping centre. They are older style, so not very wide. The traffic here is busy so challenging to exit from the rear, however if you need to do so, choose the 2nd park outside SPA Supermarket. Both are not flat to the pathway, however the 1st one outside the FISH & CHIPS shop is good BUT there is small lip that is a trip hazard if your loved-one isn't aware of it. the 2nd one has a sloping gutter that is NOT suitable for wheelchairs or wheelie-walkers.",-23.14435,150.75626,Cedar-park-shopping-centre-2,YEPPOON,Livingstone,Parking,orange,parking-orange
