name,description,latitude,longitude,location_id,township,lga,category,rating,icon
YEPPOON | TOILET - disability [OKAY],"YEPPOON

Automatic door; rail on the right-hand side; level approach from the car park.",-23.12795,150.74408,yeppoon-family-practice-toilet,YEPPOON,Livingstone,Toilets,orange,toilet-orange
YEPPOON | TOILET - disability [OKAY],"YEPPOON

Hmm, this is a brand new toilet so we hoped to be able to give it an EXCELLENT rating. And there's many good things about it! But here are the issues: It's new but still has an old-style door instead of an automatic door. There are NO handrails! There are hooks that could be used for stoma-bags, but they are so far away from the basin and toilet that we know they are intended for hand-bags and jackets, and not people with a disability/medical need. The good points are it's size, the hand-wash basin does allow wheelchair users to wash hands. But it needs a shelf for hygienic medical supply placement.",-23.13282,150.74925,spinnaker-club,YEPPOON,Livingstone,Toilets,orange,toilet-orange
